token	corpus size	all contexts size	frequency	co-frequency	specificity
después	16577	5781	2	2	0.92
habilidad	16577	5781	2	2	0.92
Locke	16577	5781	2	2	0.92
aparte	16577	5781	2	2	0.92
robots	16577	5781	2	2	0.92
correlatos	16577	5781	2	2	0.92
diccionario	16577	5781	2	2	0.92
basadas	16577	5781	2	2	0.92
tradicional	16577	5781	2	2	0.92
distingue	16577	5781	2	2	0.92
argumentado	16577	5781	2	2	0.92
accede	16577	5781	2	2	0.92
explicada	16577	5781	2	2	0.92
complicado	16577	5781	2	2	0.92
descritos	16577	5781	2	2	0.92
asunto	16577	5781	2	2	0.92
“La	16577	5781	2	2	0.92
conoce	16577	5781	2	2	0.92
“Los	16577	5781	2	2	0.92
temprana	16577	5781	2	2	0.92
único	16577	5781	2	2	0.92
simple	16577	5781	2	2	0.92
plantea	16577	5781	2	2	0.92
reciente	16577	5781	2	2	0.92
García	16577	5781	2	2	0.92
retos	16577	5781	2	2	0.92
actuales	16577	5781	2	2	0.92
mero	16577	5781	2	2	0.92
válidas	16577	5781	2	2	0.92
nunca	16577	5781	2	2	0.92
¿Por	16577	5781	2	2	0.92
tratado	16577	5781	2	2	0.92
numerosas	16577	5781	2	2	0.92
fin	16577	5781	2	2	0.92
primeras	16577	5781	2	2	0.92
metáfora	16577	5781	2	2	0.92
“representación	16577	5781	2	2	0.92
estructural	16577	5781	2	2	0.92
conscientesde	16577	5781	2	2	0.92
colapso	16577	5781	2	2	0.92
ritmo	16577	5781	2	2	0.92
recientemente	16577	5781	2	2	0.92
intrínseco	16577	5781	2	2	0.92
obstante	16577	5781	2	2	0.92
rasgo	16577	5781	2	2	0.92
atencionales	16577	5781	2	2	0.92
Alternar	16577	5781	2	2	0.92
subsección	16577	5781	2	2	0.92
cambia	16577	5781	2	2	0.92
formada	16577	5781	2	2	0.92
sueños	16577	5781	2	2	0.92
actividades	16577	5781	2	2	0.92
Educación	16577	5781	2	2	0.92
Física	16577	5781	2	2	0.92
aprendizaje	16577	5781	2	2	0.92
neurobiológicos	16577	5781	2	2	0.92
conjunción	16577	5781	2	2	0.92
Edelman	16577	5781	2	2	0.92
ciertas	16577	5781	2	2	0.92
acabar	16577	5781	2	2	0.92
oración	16577	5781	2	2	0.92
válido	16577	5781	2	2	0.92
Imágenes	16577	5781	2	2	0.92
narrativa	16577	5781	2	2	0.92
construcción	16577	5781	2	2	0.92
valor	16577	5781	2	2	0.92
diferencial	16577	5781	2	2	0.92
Ese	16577	5781	2	2	0.92
Gestalt	16577	5781	2	2	0.92
ego	16577	5781	2	2	0.92
ampliación	16577	5781	2	2	0.92
[Antonio	16577	5781	2	2	0.92
debatidos	16577	5781	2	2	0.92
elusivo	16577	5781	2	2	0.92
cual	16577	5781	12	6	0.90
hace	16577	5781	12	6	0.90
función	16577	5781	12	6	0.90
ciencia	16577	5781	12	6	0.90
tener	16577	5781	15	7	0.88
siempre	16577	5781	15	7	0.88
este	16577	5781	39	13	0.88
diferencias	16577	5781	7	4	0.84
libro	16577	5781	7	4	0.84
hacia	16577	5781	7	4	0.84
vista	16577	5781	7	4	0.84
fenómenos	16577	5781	7	4	0.84
valores	16577	5781	7	4	0.84
actividad	16577	5781	22	9	0.84
percepción	16577	5781	19	8	0.83
forma	16577	5781	31	11	0.83
artículo	16577	5781	16	7	0.82
Según	16577	5781	10	5	0.82
procesos	16577	5781	10	5	0.82
hay	16577	5781	13	6	0.81
ver	16577	5781	13	6	0.81
porque	16577	5781	13	6	0.81
términos	16577	5781	23	9	0.81
qué	16577	5781	23	9	0.81
mismo	16577	5781	27	9	0.80
mente	16577	5781	20	8	0.79
tiene	16577	5781	25	9	0.79
algo	16577	5781	25	9	0.79
Por	16577	5781	24	8	0.77
origen	16577	5781	5	3	0.74
resultado	16577	5781	5	3	0.74
Real	16577	5781	5	3	0.74
individuos	16577	5781	5	3	0.74
través	16577	5781	5	3	0.74
trata	16577	5781	5	3	0.74
contrario	16577	5781	5	3	0.74
perspectiva	16577	5781	5	3	0.74
filósofo	16577	5781	5	3	0.74
Hay	16577	5781	5	3	0.74
tres	16577	5781	5	3	0.74
pasa	16577	5781	5	3	0.74
calidad	16577	5781	5	3	0.74
elementos	16577	5781	5	3	0.74
nerviosos	16577	5781	5	3	0.74
diferentes	16577	5781	11	5	0.74
permite	16577	5781	11	5	0.74
mientras	16577	5781	11	5	0.74
también	16577	5781	19	7	0.73
nivel	16577	5781	19	6	0.73
entorno	16577	5781	19	6	0.73
naturaleza	16577	5781	8	4	0.73
entender	16577	5781	8	4	0.73
fenómeno	16577	5781	8	4	0.73
Chalmers	16577	5781	8	4	0.73
humano	16577	5781	8	4	0.73
poder	16577	5781	8	4	0.73
surge	16577	5781	8	4	0.73
propuesta	16577	5781	8	4	0.73
intervención	16577	5781	8	4	0.73
conocimiento	16577	5781	18	6	0.71
embargo	16577	5781	16	6	0.70
capacidad	16577	5781	17	6	0.70
subjetiva	16577	5781	12	5	0.69
ni	16577	5781	15	5	0.67
investigación	16577	5781	13	5	0.67
estar	16577	5781	13	5	0.67
vida	16577	5781	14	5	0.66
hecho	16577	5781	14	5	0.66
ya	16577	5781	9	4	0.66
distinción	16577	5781	9	4	0.66
término	16577	5781	9	4	0.66
Teorías	16577	5781	9	4	0.66
llega	16577	5781	9	4	0.66
propio	16577	5781	9	4	0.66
tenemos	16577	5781	13	4	0.65
¿Cómo	16577	5781	13	4	0.65
Si	16577	5781	6	3	0.63
percibir	16577	5781	6	3	0.63
respecto	16577	5781	6	3	0.63
existen	16577	5781	6	3	0.63
posibilidad	16577	5781	6	3	0.63
aceptada	16577	5781	6	3	0.63
mecanismos	16577	5781	6	3	0.63
constituye	16577	5781	6	3	0.63
relevantes	16577	5781	6	3	0.63
surgen	16577	5781	6	3	0.63
estructura	16577	5781	6	3	0.63
entendimiento	16577	5781	6	3	0.63
principio	16577	5781	6	3	0.63
pueden	16577	5781	12	4	0.63
neurociencia	16577	5781	12	4	0.63
Para	16577	5781	10	4	0.63
nuestras	16577	5781	10	4	0.63
cerebrales	16577	5781	10	4	0.63
Una	16577	5781	10	4	0.63
provienen	16577	5781	3	2	0.62
allá	16577	5781	3	2	0.62
serie	16577	5781	3	2	0.62
neurobiológica	16577	5781	3	2	0.62
debemos	16577	5781	3	2	0.62
utilizar	16577	5781	3	2	0.62
siguiente	16577	5781	3	2	0.62
último	16577	5781	3	2	0.62
tenido	16577	5781	3	2	0.62
esenciales	16577	5781	3	2	0.62
últimas	16577	5781	3	2	0.62
da	16577	5781	3	2	0.62
Block	16577	5781	3	2	0.62
llama	16577	5781	3	2	0.62
i	16577	5781	3	2	0.62
“la	16577	5781	3	2	0.62
tampoco	16577	5781	3	2	0.62
sigue	16577	5781	3	2	0.62
fue	16577	5781	3	2	0.62
contenido	16577	5781	3	2	0.62
resultados	16577	5781	3	2	0.62
anestésicos	16577	5781	3	2	0.62
continua	16577	5781	3	2	0.62
describen	16577	5781	3	2	0.62
epifenómeno	16577	5781	3	2	0.62
evaluar	16577	5781	3	2	0.62
formular	16577	5781	3	2	0.62
entidad	16577	5781	3	2	0.62
causa	16577	5781	3	2	0.62
criticado	16577	5781	3	2	0.62
explicarse	16577	5781	3	2	0.62
naturalista	16577	5781	3	2	0.62
agentes	16577	5781	3	2	0.62
sincronía	16577	5781	3	2	0.62
generación	16577	5781	3	2	0.62
sistemas	16577	5781	3	2	0.62
atribuir	16577	5781	3	2	0.62
esquema	16577	5781	3	2	0.62
atencional	16577	5781	3	2	0.62
produce	16577	5781	3	2	0.62
hipótesis	16577	5781	3	2	0.62
latín	16577	5781	3	2	0.62
cotidiana	16577	5781	3	2	0.62
orientada	16577	5781	3	2	0.62
relaciona	16577	5781	3	2	0.62
carácter	16577	5781	3	2	0.62
afirmar	16577	5781	3	2	0.62
delimita	16577	5781	3	2	0.62
definir	16577	5781	3	2	0.62
claves	16577	5781	3	2	0.62
condición	16577	5781	3	2	0.62
trabajamos	16577	5781	3	2	0.62
quiero	16577	5781	3	2	0.62
estados	16577	5781	11	4	0.62
Los	16577	5781	11	4	0.62
interior	16577	5781	11	4	0.62
podemos	16577	5781	11	4	0.62
aunque	16577	5781	11	4	0.62
todos	16577	5781	10	3	0.60
vez	16577	5781	10	3	0.60
física	16577	5781	10	3	0.60
va	16577	5781	7	3	0.57
muchos	16577	5781	7	3	0.57
otras	16577	5781	7	3	0.57
cuidado	16577	5781	7	3	0.57
yo	16577	5781	7	3	0.57
durante	16577	5781	7	3	0.57
Se	16577	5781	7	3	0.57
respuesta	16577	5781	7	3	0.57
dentro	16577	5781	7	3	0.57
comprensión	16577	5781	7	3	0.57
demás	16577	5781	7	3	0.57
genera	16577	5781	7	3	0.57
desarrollo	16577	5781	7	3	0.57
profesional	16577	5781	7	3	0.57
mayoría	16577	5781	9	3	0.57
diferencia	16577	5781	9	3	0.57
esto	16577	5781	9	3	0.57
relación	16577	5781	9	3	0.57
están	16577	5781	9	3	0.57
procesamiento	16577	5781	9	3	0.57
problemas	16577	5781	9	3	0.57
eso	16577	5781	9	3	0.57
Damasio	16577	5781	9	3	0.57
científicos	16577	5781	8	3	0.56
cuántica	16577	5781	8	3	0.56
misma	16577	5781	8	3	0.56
Un	16577	5781	8	3	0.56
nuestros	16577	5781	8	3	0.56
puedo	16577	5781	8	3	0.56
científica	16577	5781	7	2	0.52
palabra	16577	5781	7	2	0.52
social	16577	5781	7	2	0.52
décadas	16577	5781	7	2	0.52
cualquier	16577	5781	7	2	0.52
personal	16577	5781	7	2	0.52
visual	16577	5781	7	2	0.52
Esta	16577	5781	7	2	0.52
Desde	16577	5781	7	2	0.52
neuronas	16577	5781	7	2	0.52
presente	16577	5781	7	2	0.52
pregunta	16577	5781	7	2	0.52
Este	16577	5781	7	2	0.52
veces	16577	5781	7	2	0.52
historia	16577	5781	7	2	0.52
fruto	16577	5781	4	2	0.51
simplemente	16577	5781	4	2	0.51
bases	16577	5781	4	2	0.51
¿Cuál	16577	5781	4	2	0.51
lenguaje	16577	5781	4	2	0.51
largo	16577	5781	4	2	0.51
algunas	16577	5781	4	2	0.51
involucra	16577	5781	4	2	0.51
siendo	16577	5781	4	2	0.51
complejas	16577	5781	4	2	0.51
década	16577	5781	4	2	0.51
actual	16577	5781	4	2	0.51
agente	16577	5781	4	2	0.51
final	16577	5781	4	2	0.51
ahora	16577	5781	4	2	0.51
neurocientífico	16577	5781	4	2	0.51
preguntas	16577	5781	4	2	0.51
diferente	16577	5781	4	2	0.51
John	16577	5781	4	2	0.51
subjetivo	16577	5781	4	2	0.51
acceder	16577	5781	4	2	0.51
autor	16577	5781	4	2	0.51
crea	16577	5781	4	2	0.51
algún	16577	5781	4	2	0.51
nueva	16577	5781	4	2	0.51
mecánica	16577	5781	4	2	0.51
físicos	16577	5781	4	2	0.51
análisis	16577	5781	4	2	0.51
pedagógica	16577	5781	4	2	0.51
región	16577	5781	4	2	0.51
medida	16577	5781	4	2	0.51
recuperó	16577	5781	4	2	0.51
rapidez	16577	5781	4	2	0.51
imprescindible	16577	5781	4	2	0.51
Esa	16577	5781	4	2	0.51
aparece	16577	5781	4	2	0.51
debe	16577	5781	6	2	0.48
casos	16577	5781	6	2	0.48
cualidad	16577	5781	6	2	0.48
Aunque	16577	5781	6	2	0.48
pesar	16577	5781	6	2	0.48
difícil	16577	5781	6	2	0.48
individuo	16577	5781	6	2	0.48
revisión	16577	5781	6	2	0.48
redes	16577	5781	6	2	0.48
importantes	16577	5781	6	2	0.48
avances	16577	5781	6	2	0.48
cognitivas	16577	5781	6	2	0.48
neurocientíficas	16577	5781	6	2	0.48
lateoría	16577	5781	6	2	0.48
efecto	16577	5781	6	2	0.48
De	16577	5781	6	2	0.48
dónde	16577	5781	6	2	0.48
toda	16577	5781	6	2	0.48
viene	16577	5781	6	2	0.48
segundo	16577	5781	6	2	0.48
mental	16577	5781	5	2	0.47
Academia	16577	5781	5	2	0.47
ella	16577	5781	5	2	0.47
sabe	16577	5781	5	2	0.47
casi	16577	5781	5	2	0.47
nada	16577	5781	5	2	0.47
te	16577	5781	5	2	0.47
puedes	16577	5781	5	2	0.47
profunda	16577	5781	5	2	0.47
propiedades	16577	5781	5	2	0.47
él	16577	5781	5	2	0.47
anestesia	16577	5781	5	2	0.47
áreas	16577	5781	5	2	0.47
cognición	16577	5781	5	2	0.47
científicas	16577	5781	5	2	0.47
pueda	16577	5781	5	2	0.47
universo	16577	5781	5	2	0.47
incluso	16577	5781	5	2	0.47
corteza	16577	5781	5	2	0.47
dice	16577	5781	5	2	0.47
estructuras	16577	5781	5	2	0.47
primer	16577	5781	5	2	0.47
situación	16577	5781	5	2	0.47
mantener	16577	5781	5	2	0.47
indicadores	16577	5781	5	2	0.47
base	16577	5781	5	2	0.47
idea	16577	5781	5	2	0.47
objetivo	16577	5781	5	2	0.47
robot	16577	5781	5	2	0.47
cum	16577	5781	1	1	0.46
scientĭa	16577	5781	1	1	0.46
«con	16577	5781	1	1	0.46
conocimiento»	16577	5781	1	1	0.46
define	16577	5781	1	1	0.46
Crítica	16577	5781	1	1	0.46
1996	16577	5781	1	1	0.46
ISBN	16577	5781	1	1	0.46
categorizar	16577	5781	1	1	0.46
arroja	16577	5781	1	1	0.46
Cuerpo	16577	5781	1	1	0.46
fábrica	16577	5781	1	1	0.46
Chile	16577	5781	1	1	0.46
Bello	16577	5781	1	1	0.46
explicamos	16577	5781	1	1	0.46
(y	16577	5781	1	1	0.46
posee	16577	5781	1	1	0.46
prefijo	16577	5781	1	1	0.46
con-	16577	5781	1	1	0.46
(“unión”	16577	5781	1	1	0.46
Panhispánico	16577	5781	1	1	0.46
Dudas	16577	5781	1	1	0.46
desprovistos	16577	5781	1	1	0.46
estrato	16577	5781	1	1	0.46
socioeconómico	16577	5781	1	1	0.46
pertenece	16577	5781	1	1	0.46
clínicos	16577	5781	1	1	0.46
alteraciones	16577	5781	1	1	0.46
Estados	16577	5781	1	1	0.46
causan	16577	5781	1	1	0.46
suenan	16577	5781	1	1	0.46
APA define	16577	5781	1	1	0.46
Principios	16577	5781	1	1	0.46
Ensayos	16577	5781	1	1	0.46
empirismo	16577	5781	1	1	0.46
permiten	16577	5781	1	1	0.46
¿Hay	16577	5781	1	1	0.46
reflexiva	16577	5781	1	1	0.46
quizá	16577	5781	1	1	0.46
tuviéramos	16577	5781	1	1	0.46
matiz	16577	5781	1	1	0.46
notables	16577	5781	1	1	0.46
experimentas	16577	5781	1	1	0.46
nombramos	16577	5781	1	1	0.46
antes—	16577	5781	1	1	0.46
sinónimos	16577	5781	1	1	0.46
Ahora	16577	5781	1	1	0.46
partido	16577	5781	1	1	0.46
sencillo»	16577	5781	1	1	0.46
orienta	16577	5781	1	1	0.46
Recuperó	16577	5781	1	1	0.46
caída	16577	5781	1	1	0.46
sufrida	16577	5781	1	1	0.46
aldeanos	16577	5781	1	1	0.46
tomaron	16577	5781	1	1	0.46
agua	16577	5781	1	1	0.46
¿Ya	16577	5781	1	1	0.46
interesantes	16577	5781	1	1	0.46
piloto	16577	5781	1	1	0.46
justo	16577	5781	1	1	0.46
nulo	16577	5781	1	1	0.46
bajísimo	16577	5781	1	1	0.46
¿dónde	16577	5781	1	1	0.46
acaba	16577	5781	1	1	0.46
empieza	16577	5781	1	1	0.46
suya	16577	5781	1	1	0.46
intacto	16577	5781	1	1	0.46
volición	16577	5781	1	1	0.46
experimentar	16577	5781	1	1	0.46
populares	16577	5781	1	1	0.46
(un	16577	5781	1	1	0.46
Thomas	16577	5781	1	1	0.46
Nagel	16577	5781	1	1	0.46
ejemplifica	16577	5781	1	1	0.46
deber	16577	5781	1	1	0.46
existir	16577	5781	1	1	0.46
concreta	16577	5781	1	1	0.46
coincide	16577	5781	1	1	0.46
¿Existe	16577	5781	1	1	0.46
¿Se	16577	5781	1	1	0.46
requieran	16577	5781	1	1	0.46
computadores	16577	5781	1	1	0.46
desarrollos	16577	5781	1	1	0.46
tecnológicos	16577	5781	1	1	0.46
convertido	16577	5781	1	1	0.46
interdisciplinaria	16577	5781	1	1	0.46
cierta	16577	5781	1	1	0.46
esté	16577	5781	1	1	0.46
neurales	16577	5781	1	1	0.46
extienden	16577	5781	1	1	0.46
varios	16577	5781	1	1	0.46
reflejan	16577	5781	1	1	0.46
controvertidas	16577	5781	1	1	0.46
falsa	16577	5781	1	1	0.46
incoherente	16577	5781	1	1	0.46
intuiciones	16577	5781	1	1	0.46
Gilbert	16577	5781	1	1	0.46
Ryle	16577	5781	1	1	0.46
argumenta	16577	5781	1	1	0.46
cartesiana	16577	5781	1	1	0.46
comete	16577	5781	1	1	0.46
error	16577	5781	1	1	0.46
comportamentales	16577	5781	1	1	0.46
lingüísticos	16577	5781	1	1	0.46
Muchos	16577	5781	1	1	0.46
unívoco	16577	5781	1	1	0.46
Ned	16577	5781	1	1	0.46
"fenomenal"	16577	5781	1	1	0.46
(P-consciousness	16577	5781	1	1	0.46
"de	16577	5781	1	1	0.46
acceso"	16577	5781	1	1	0.46
acerca	16577	5781	1	1	0.46
coexisten	16577	5781	1	1	0.46
postulados	16577	5781	1	1	0.46
hipotéticos	16577	5781	1	1	0.46
materialismo	16577	5781	1	1	0.46
definida	16577	5781	1	1	0.46
reproducción	16577	5781	1	1	0.46
llevando	16577	5781	1	1	0.46
terreno	16577	5781	1	1	0.46
político	16577	5781	1	1	0.46
práctico	16577	5781	1	1	0.46
definiendo	16577	5781	1	1	0.46
Solms	16577	5781	1	1	0.46
realista	16577	5781	1	1	0.46
fantasmal	16577	5781	1	1	0.46
(término	16577	5781	1	1	0.46
crítica	16577	5781	1	1	0.46
dejando	16577	5781	1	1	0.46
sistemáticamente	16577	5781	1	1	0.46
estaba	16577	5781	1	1	0.46
reservado	16577	5781	1	1	0.46
hacerse	16577	5781	1	1	0.46
Pi	16577	5781	1	1	0.46
Sunyer	16577	5781	1	1	0.46
(IDIBAPS	16577	5781	1	1	0.46
Barcelona	16577	5781	1	1	0.46
“el	16577	5781	1	1	0.46
tabú	16577	5781	1	1	0.46
1990	16577	5781	1	1	0.46
“El	16577	5781	1	1	0.46
usado	16577	5781	1	1	0.46
maneras	16577	5781	1	1	0.46
enfoca	16577	5781	1	1	0.46
malas	16577	5781	1	1	0.46
incluidas	16577	5781	1	1	0.46
contribuye	16577	5781	1	1	0.46
admite	16577	5781	1	1	0.46
quinta	16577	5781	1	1	0.46
acepción	16577	5781	1	1	0.46
“capacidad	16577	5781	1	1	0.46
raíces	16577	5781	1	1	0.46
diferencian	16577	5781	1	1	0.46
desaparece	16577	5781	1	1	0.46
noche	16577	5781	1	1	0.46
mañana	16577	5781	1	1	0.46
interactuamos	16577	5781	1	1	0.46
utilizaron	16577	5781	1	1	0.46
resonancias	16577	5781	1	1	0.46
magnéticas	16577	5781	1	1	0.46
funcionales	16577	5781	1	1	0.46
(IRMf	16577	5781	1	1	0.46
detectaron	16577	5781	1	1	0.46
huellas	16577	5781	1	1	0.46
traumáticas	16577	5781	1	1	0.46
graves	16577	5781	1	1	0.46
cuidados	16577	5781	1	1	0.46
intensivos	16577	5781	1	1	0.46
recuperación	16577	5781	1	1	0.46
voluminosa	16577	5781	1	1	0.46
diencéfalo	16577	5781	1	1	0.46
involucrado	16577	5781	1	1	0.46
contenga	16577	5781	1	1	0.46
hipotetizó	16577	5781	1	1	0.46
Descartes”	16577	5781	1	1	0.46
alega	16577	5781	1	1	0.46
Witkowski	16577	5781	1	1	0.46
refinada	16577	5781	1	1	0.46
rápida	16577	5781	1	1	0.46
rica	16577	5781	1	1	0.46
desincronizada	16577	5781	1	1	0.46
apoyar	16577	5781	1	1	0.46
–mantiene	16577	5781	1	1	0.46
Storm–	16577	5781	1	1	0.46
Anestesiar	16577	5781	1	1	0.46
depende	16577	5781	1	1	0.46
específico	16577	5781	1	1	0.46
Scheinin	16577	5781	1	1	0.46
comprobaron	16577	5781	1	1	0.46
—ubicada	16577	5781	1	1	0.46
midan	16577	5781	1	1	0.46
eviten	16577	5781	1	1	0.46
involuntaria	16577	5781	1	1	0.46
sedación	16577	5781	1	1	0.46
PLOS	16577	5781	1	1	0.46
Biology	16577	5781	1	1	0.46
intervalos	16577	5781	1	1	0.46
“Existen	16577	5781	1	1	0.46
períodos	16577	5781	1	1	0.46
sustanciales	16577	5781	1	1	0.46
brechas”	16577	5781	1	1	0.46
puntualiza	16577	5781	1	1	0.46
Herzog	16577	5781	1	1	0.46
aflorar	16577	5781	1	1	0.46
tratando	16577	5781	1	1	0.46
intermediaria	16577	5781	1	1	0.46
trasmisión	16577	5781	1	1	0.46
estático	16577	5781	1	1	0.46
transmitiría	16577	5781	1	1	0.46
arranque	16577	5781	1	1	0.46
investigadores	16577	5781	1	1	0.46
empezar	16577	5781	1	1	0.46
van	16577	5781	1	1	0.46
esquizofrenia	16577	5781	1	1	0.46
enfermedades	16577	5781	1	1	0.46
mentales”	16577	5781	1	1	0.46
destaca	16577	5781	1	1	0.46
Journal	16577	5781	1	1	0.46
Neuroscience	16577	5781	1	1	0.46
revisaron	16577	5781	1	1	0.46
generalmente	16577	5781	1	1	0.46
explique	16577	5781	1	1	0.46
Nuestra	16577	5781	1	1	0.46
misma”	16577	5781	1	1	0.46
concluye	16577	5781	1	1	0.46
literatura	16577	5781	1	1	0.46
Nuevas	16577	5781	1	1	0.46
Castro	16577	5781	1	1	0.46
Centro	16577	5781	1	1	0.46
Universitario	16577	5781	1	1	0.46
Villanueva	16577	5781	1	1	0.46
(Universidad	16577	5781	1	1	0.46
Complutense	16577	5781	1	1	0.46
Realizar	16577	5781	1	1	0.46
actualizada	16577	5781	1	1	0.46
principales	16577	5781	1	1	0.46
reflejando	16577	5781	1	1	0.46
inmadura	16577	5781	1	1	0.46
concluir	16577	5781	1	1	0.46
interés	16577	5781	1	1	0.46
vislumbrar	16577	5781	1	1	0.46
aglutina	16577	5781	1	1	0.46
mantiene	16577	5781	1	1	0.46
intrigada	16577	5781	1	1	0.46
objetivas	16577	5781	1	1	0.46
tales	16577	5781	1	1	0.46
razonamiento	16577	5781	1	1	0.46
vano	16577	5781	1	1	0.46
Ralph	16577	5781	1	1	0.46
Adolphs⁸clasifica	16577	5781	1	1	0.46
podremos	16577	5781	1	1	0.46
siguientes	16577	5781	1	1	0.46
d	16577	5781	1	1	0.46
sustancia	16577	5781	1	1	0.46
disponemos	16577	5781	1	1	0.46
unánimemente	16577	5781	1	1	0.46
¹¹Hacemos	16577	5781	1	1	0.46
notar	16577	5781	1	1	0.46
