token	corpus size	all contexts size	frequency	co-frequency	specificity
la	16577	5781	898	462	25.32
de	16577	5781	1046	440	6.97
es	16577	5781	192	95	5.02
La	16577	5781	101	54	4.28
primaria	16577	5781	7	7	3.20
superior	16577	5781	7	7	3.20
teoría	16577	5781	32	20	3.04
poner	16577	5781	6	6	2.75
problema	16577	5781	23	15	2.66
sería	16577	5781	15	11	2.64
definición	16577	5781	19	13	2.63
implica	16577	5781	8	7	2.49
acceso	16577	5781	8	7	2.49
el	16577	5781	375	151	2.42
como	16577	5781	111	51	2.38
cómo	16577	5781	18	12	2.34
mayor	16577	5781	16	11	2.32
humana	16577	5781	5	5	2.29
conceptual	16577	5781	5	5	2.29
a	16577	5781	226	94	2.23
una	16577	5781	160	69	2.21
misterio	16577	5781	7	6	2.09
robótica	16577	5781	7	6	2.09
elemento	16577	5781	15	10	2.03
sobre	16577	5781	81	37	1.93
conciencia	16577	5781	84	38	1.89
ha	16577	5781	20	12	1.88
vocablo	16577	5781	4	4	1.83
¿Conciencia	16577	5781	4	4	1.83
cuándo	16577	5781	4	4	1.83
cuales	16577	5781	4	4	1.83
plena	16577	5781	4	4	1.83
aprender	16577	5781	4	4	1.83
más	16577	5781	80	36	1.81
tanto	16577	5781	35	18	1.75
tipos	16577	5781	6	5	1.70
complejidad	16577	5781	6	5	1.70
propiedad	16577	5781	6	5	1.70
comprender	16577	5781	8	6	1.67
propuesto	16577	5781	8	6	1.67
proceso	16577	5781	26	14	1.66
en	16577	5781	394	147	1.60
cerebral	16577	5781	20	11	1.48
que	16577	5781	474	171	1.48
esta	16577	5781	30	15	1.47
autores	16577	5781	11	7	1.43
clave	16577	5781	11	7	1.43
con	16577	5781	118	47	1.40
humanos	16577	5781	9	6	1.38
mayores	16577	5781	3	3	1.37
David	16577	5781	3	3	1.37
sinónimo	16577	5781	3	3	1.37
ahí	16577	5781	3	3	1.37
desentrañar	16577	5781	3	3	1.37
corticales	16577	5781	3	3	1.37
presencia	16577	5781	3	3	1.37
debería	16577	5781	3	3	1.37
estaría	16577	5781	3	3	1.37
Problemas	16577	5781	3	3	1.37
neurofisiológicos	16577	5781	3	3	1.37
orden	16577	5781	3	3	1.37
Confusión	16577	5781	3	3	1.37
identifica	16577	5781	3	3	1.37
para	16577	5781	94	38	1.35
pero	16577	5781	21	11	1.35
se	16577	5781	166	63	1.34
podría	16577	5781	7	5	1.34
algunos	16577	5781	7	5	1.34
seres	16577	5781	7	5	1.34
explicación	16577	5781	7	5	1.34
aspectos	16577	5781	7	5	1.34
hemos	16577	5781	7	5	1.34
modelo	16577	5781	7	5	1.34
conscientia	16577	5781	5	4	1.32
general	16577	5781	5	4	1.32
vivir	16577	5781	5	4	1.32
fenomenal	16577	5781	5	4	1.32
resolver	16577	5781	5	4	1.32
dar	16577	5781	5	4	1.32
representa	16577	5781	5	4	1.32
enfoque	16577	5781	5	4	1.32
Aleksander	16577	5781	5	4	1.32
teorías	16577	5781	24	12	1.29
los	16577	5781	183	67	1.26
al	16577	5781	57	24	1.25
lugar	16577	5781	12	7	1.24
neuronales	16577	5781	12	7	1.24
dos	16577	5781	12	7	1.24
concepto	16577	5781	12	7	1.24
un	16577	5781	172	60	1.19
filósofos	16577	5781	10	6	1.17
punto	16577	5781	10	6	1.17
partir	16577	5781	10	6	1.17
las	16577	5781	137	49	1.16
sentido	16577	5781	15	8	1.16
explicar	16577	5781	15	8	1.16
entre	16577	5781	51	21	1.14
estudio	16577	5781	18	9	1.11
niveles	16577	5781	8	5	1.10
fundamental	16577	5781	8	5	1.10
por	16577	5781	105	36	1.09
lo	16577	5781	95	33	1.07
decir	16577	5781	16	8	1.04
cuenta	16577	5781	6	4	1.03
todavía	16577	5781	6	4	1.03
sentir	16577	5781	6	4	1.03
definiciones	16577	5781	6	4	1.03
tema	16577	5781	6	4	1.03
sujeto	16577	5781	6	4	1.03
parece	16577	5781	6	4	1.03
Dunmall	16577	5781	6	4	1.03
otro	16577	5781	19	9	1.01
mi	16577	5781	11	6	1.01
cambio	16577	5781	11	6	1.01
ser	16577	5781	46	18	1.00
uno	16577	5781	22	10	1.00
han	16577	5781	25	11	0.99
según	16577	5781	14	7	0.97
confusión	16577	5781	4	3	0.96
diferenciar	16577	5781	4	3	0.96
complejos	16577	5781	4	3	0.96
propone	16577	5781	4	3	0.96
debido	16577	5781	4	3	0.96
básico	16577	5781	4	3	0.96
materia	16577	5781	4	3	0.96
supone	16577	5781	4	3	0.96
integrada	16577	5781	4	3	0.96
educación	16577	5781	4	3	0.96
Eccles	16577	5781	4	3	0.96
creencias	16577	5781	4	3	0.96
sentimos	16577	5781	4	3	0.96
puede	16577	5781	42	16	0.94
son	16577	5781	26	11	0.94
estado	16577	5781	26	11	0.94
tan	16577	5781	9	5	0.93
posible	16577	5781	9	5	0.93
encontrar	16577	5781	9	5	0.93
Editorial	16577	5781	2	2	0.92
Andrés	16577	5781	2	2	0.92
latino	16577	5781	2	2	0.92
radical	16577	5781	2	2	0.92
definió	16577	5781	2	2	0.92
aplicación	16577	5781	2	2	0.92
consideran	16577	5781	2	2	0.92
enigma	16577	5781	2	2	0.92
autoconocimiento	16577	5781	2	2	0.92
usar	16577	5781	2	2	0.92
sabes	16577	5781	2	2	0.92
ganar	16577	5781	2	2	0.92
